instance_id;exam
solving_time;3.7981510162353516
status;Optimal
Prenom;%;J/N;Semaine 1;;;;;;;Semaine 2;;;;;;;Semaine 3;;;;;;;Semaine 4;;;;;;;Semaine 5;;;;;;;Semaine 6;;;;;;;Semaine 7;;;;;;;Semaine 8;;;;;;;Semaine 9;;;;;;;Semaine 10;;;;;;;Semaine 11;;;;;;;Semaine 12;;;;;;;Semaine 13;;;;;;;Semaine 14;;;;;;;Semaine 15;;;;;;;Semaine 16;;;;;;;Semaine 17;;;;;;;Semaine 18;;;;;;
Agent;%;J/N;L;Ma;Me;J;V;S;D;L;Ma;Me;J;V;S;D;L;Ma;Me;J;V;S;D;L;Ma;Me;J;V;S;D;L;Ma;Me;J;V;S;D;L;Ma;Me;J;V;S;D;L;Ma;Me;J;V;S;D;L;Ma;Me;J;V;S;D;L;Ma;Me;J;V;S;D;L;Ma;Me;J;V;S;D;L;Ma;Me;J;V;S;D;L;Ma;Me;J;V;S;D;L;Ma;Me;J;V;S;D;L;Ma;Me;J;V;S;D;L;Ma;Me;J;V;S;D;L;Ma;Me;J;V;S;D;L;Ma;Me;J;V;S;D;L;Ma;Me;J;V;S;D
1;100;;Repos;Repos;S;M;M;Repos;Repos;J;M;Repos;Repos;J;S;S;Repos;N;N;Repos;Repos;Repos;Repos;N;M;M;Repos;Repos;Repos;Repos;Repos;Repos;M;N;Repos;N;N;N;Repos;Repos;J;M;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;M;N;Repos;Repos;M;S;N;Repos;Repos;Repos;Repos;Repos;Repos;S;M;M;Repos;Repos;J;M;Repos;Repos;J;S;S;Repos;N;N;Repos;Repos;Repos;Repos;N;M;M;Repos;Repos;Repos;Repos;Repos;Repos;M;N;Repos;N;N;N;Repos;Repos;J;M;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;M;N;Repos;Repos;M;S;N;Repos;Repos;Repos;Repos
2;100;;J;M;Repos;Repos;J;S;S;Repos;N;N;Repos;Repos;Repos;Repos;N;M;M;Repos;Repos;Repos;Repos;Repos;Repos;M;N;Repos;N;N;N;Repos;Repos;J;M;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;M;N;Repos;Repos;M;S;N;Repos;Repos;Repos;Repos;Repos;Repos;S;M;M;Repos;Repos;J;M;Repos;Repos;J;S;S;Repos;N;N;Repos;Repos;Repos;Repos;N;M;M;Repos;Repos;Repos;Repos;Repos;Repos;M;N;Repos;N;N;N;Repos;Repos;J;M;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;M;N;Repos;Repos;M;S;N;Repos;Repos;Repos;Repos;Repos;Repos;S;M;M;Repos;Repos
3;100;;Repos;N;N;Repos;Repos;Repos;Repos;N;M;M;Repos;Repos;Repos;Repos;Repos;Repos;M;N;Repos;N;N;N;Repos;Repos;J;M;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;M;N;Repos;Repos;M;S;N;Repos;Repos;Repos;Repos;Repos;Repos;S;M;M;Repos;Repos;J;M;Repos;Repos;J;S;S;Repos;N;N;Repos;Repos;Repos;Repos;N;M;M;Repos;Repos;Repos;Repos;Repos;Repos;M;N;Repos;N;N;N;Repos;Repos;J;M;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;M;N;Repos;Repos;M;S;N;Repos;Repos;Repos;Repos;Repos;Repos;S;M;M;Repos;Repos;J;M;Repos;Repos;J;S;S
4;100;;N;M;M;Repos;Repos;Repos;Repos;Repos;Repos;M;N;Repos;N;N;N;Repos;Repos;J;M;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;M;N;Repos;Repos;M;S;N;Repos;Repos;Repos;Repos;Repos;Repos;S;M;M;Repos;Repos;J;M;Repos;Repos;J;S;S;Repos;N;N;Repos;Repos;Repos;Repos;N;M;M;Repos;Repos;Repos;Repos;Repos;Repos;M;N;Repos;N;N;N;Repos;Repos;J;M;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;M;N;Repos;Repos;M;S;N;Repos;Repos;Repos;Repos;Repos;Repos;S;M;M;Repos;Repos;J;M;Repos;Repos;J;S;S;Repos;N;N;Repos;Repos;Repos;Repos
5;100;;Repos;Repos;M;N;Repos;N;N;N;Repos;Repos;J;M;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;M;N;Repos;Repos;M;S;N;Repos;Repos;Repos;Repos;Repos;Repos;S;M;M;Repos;Repos;J;M;Repos;Repos;J;S;S;Repos;N;N;Repos;Repos;Repos;Repos;N;M;M;Repos;Repos;Repos;Repos;Repos;Repos;M;N;Repos;N;N;N;Repos;Repos;J;M;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;M;N;Repos;Repos;M;S;N;Repos;Repos;Repos;Repos;Repos;Repos;S;M;M;Repos;Repos;J;M;Repos;Repos;J;S;S;Repos;N;N;Repos;Repos;Repos;Repos;N;M;M;Repos;Repos;Repos;Repos
6;100;;N;Repos;Repos;J;M;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;M;N;Repos;Repos;M;S;N;Repos;Repos;Repos;Repos;Repos;Repos;S;M;M;Repos;Repos;J;M;Repos;Repos;J;S;S;Repos;N;N;Repos;Repos;Repos;Repos;N;M;M;Repos;Repos;Repos;Repos;Repos;Repos;M;N;Repos;N;N;N;Repos;Repos;J;M;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;M;N;Repos;Repos;M;S;N;Repos;Repos;Repos;Repos;Repos;Repos;S;M;M;Repos;Repos;J;M;Repos;Repos;J;S;S;Repos;N;N;Repos;Repos;Repos;Repos;N;M;M;Repos;Repos;Repos;Repos;Repos;Repos;M;N;Repos;N;N
7;100;;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;M;N;Repos;Repos;M;S;N;Repos;Repos;Repos;Repos;Repos;Repos;S;M;M;Repos;Repos;J;M;Repos;Repos;J;S;S;Repos;N;N;Repos;Repos;Repos;Repos;N;M;M;Repos;Repos;Repos;Repos;Repos;Repos;M;N;Repos;N;N;N;Repos;Repos;J;M;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;M;N;Repos;Repos;M;S;N;Repos;Repos;Repos;Repos;Repos;Repos;S;M;M;Repos;Repos;J;M;Repos;Repos;J;S;S;Repos;N;N;Repos;Repos;Repos;Repos;N;M;M;Repos;Repos;Repos;Repos;Repos;Repos;M;N;Repos;N;N;N;Repos;Repos;J;M;Repos;Repos
8;100;;Repos;Repos;Repos;M;N;Repos;Repos;M;S;N;Repos;Repos;Repos;Repos;Repos;Repos;S;M;M;Repos;Repos;J;M;Repos;Repos;J;S;S;Repos;N;N;Repos;Repos;Repos;Repos;N;M;M;Repos;Repos;Repos;Repos;Repos;Repos;M;N;Repos;N;N;N;Repos;Repos;J;M;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;M;N;Repos;Repos;M;S;N;Repos;Repos;Repos;Repos;Repos;Repos;S;M;M;Repos;Repos;J;M;Repos;Repos;J;S;S;Repos;N;N;Repos;Repos;Repos;Repos;N;M;M;Repos;Repos;Repos;Repos;Repos;Repos;M;N;Repos;N;N;N;Repos;Repos;J;M;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos
9;100;;M;S;N;Repos;Repos;Repos;Repos;Repos;Repos;S;M;M;Repos;Repos;J;M;Repos;Repos;J;S;S;Repos;N;N;Repos;Repos;Repos;Repos;N;M;M;Repos;Repos;Repos;Repos;Repos;Repos;M;N;Repos;N;N;N;Repos;Repos;J;M;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;M;N;Repos;Repos;M;S;N;Repos;Repos;Repos;Repos;Repos;Repos;S;M;M;Repos;Repos;J;M;Repos;Repos;J;S;S;Repos;N;N;Repos;Repos;Repos;Repos;N;M;M;Repos;Repos;Repos;Repos;Repos;Repos;M;N;Repos;N;N;N;Repos;Repos;J;M;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;Repos;M;N;Repos;Repos
10;80;;Jca;N;J;S;Jca;M;M;Jca;N;J;S;Jca;M;M;Jca;N;J;S;Jca;M;M;Jca;N;J;S;Jca;M;M;Jca;N;J;S;Jca;M;M;Jca;N;J;S;Jca;M;M;Jca;N;J;S;Jca;M;M;Jca;N;J;S;Jca;M;M;Jca;N;J;S;Jca;M;M;Jca;N;J;S;Jca;M;M;Jca;N;J;S;Jca;M;M;Jca;N;J;S;Jca;M;M;Jca;N;J;S;Jca;M;M;Jca;N;J;S;Jca;M;M;Jca;N;J;S;Jca;M;M;Jca;N;J;S;Jca;M;M;Jca;N;J;S;Jca;M;M;Jca;N;J;S;Jca;M;M
